Org,PlayerName,p1500_org_rank,p1500_match_method,p1500_match_score,p1500_in_list,p1500_org_slug,p1500_source_url,p1500_scraped_date
LAA,Chris Cortez,10,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
NYY,Bryce Cunningham,7,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/new-york-yankees-top-50-prospects-2026/,2026-02-05
STL,Braden Davis,,none,0.0,False,,,
NYM,Nate Dohm,,none,0.0,False,,,
ARI,Daniel Eagen,12,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
CIN,Ty Floyd,23,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
ARI,Connor Foley,,none,44.44444444444444,False,,,
LAA,Austin Gordon,39,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
TEX,David Hagaman,10,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
NYY,Ben Hess,6,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/new-york-yankees-top-50-prospects-2026/,2026-02-05
CIN,Luke Holman,22,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
BOS,John Holobetz,,none,0.0,False,,,
COL,Lebarron Johnson Jr.,46,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
ATH,Gage Jump,2,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
WSN,Jackson Kent,19,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
KCR,L.P. Langevin,42,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
MIA,Aiden May,,none,0.0,False,,,
SFG,Niko Mazza,,none,54.54545454545454,False,,,
BOS,Matt McShane,,none,0.0,False,,,
MIN,Cole Peschl,,none,0.0,False,,,
NYM,Jonathan Santucci,,none,0.0,False,,,
ATL,Luke Sinnard,14,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
HOU,Parker Smith,27,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
TOR,Khal Stephen,,none,48.0,False,,,
ATH,Sam Stuhr,46,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
WSN,Yoel Tejeda Jr. ,32,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
CIN,Mike Villani,,none,59.25925925925925,False,,,
LAD,Jakob Wright,,none,0.0,False,,,
MIL,Jack Hostetler,,none,0.0,False,,,
ATL,Raudy Reyes,31,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
DET,Owen Hall,,none,0.0,False,,,
DET,Ethan Schiefelbein,,none,0.0,False,,,
PIT,Levi Sterling,,none,0.0,False,,,
CLE,Braylon Doughty,,none,0.0,False,,,
SFG,Drake George,,none,58.33333333333333,False,,,
LAD,Logan Tabeling,,none,0.0,False,,,
MIL,Bryce Meccage,,none,0.0,False,,,
MIN,Dasan Hill,,none,0.0,False,,,
